A1	A2	A3	B1	B2	B3
7.25859057	7.37369939	7.68687827	10.68085142	10.79183912	10.69410714
9.00798423	9.37113064	9.67049764	5.03655536	5.10301836	5.20015448
47522.05883	48921.60651	50862.88164	60222.57768	58080.9689	60667.72871
1.24779618	1.32549298	1.2749469	1.22986006	1.2405322	1.21040278
0.28896424	0.28805455	0.27056283	0.18620105	0.18341914	0.18487253
0.9658518	1.00748151	1.03196215	1.00734027	0.97454453	0.99408979
0.8474457	0.84270206	0.85510729	0.62532403	0.6363221	0.64739669
0.18408952	0.19376822	0.18735192	0.50330092	0.53028495	0.51153101
0.02998768	0.02565195	0.02532777	0.00040984	0.00040984	0.00040984
0.00038713	0.00038713	0.00045428	0.05785307	0.0669802	0.0692376
0.33252057	0.33664308	0.34032014	0.13667614	0.13538584	0.13740105
0.00204491	0.00146556	0.00239435	0.37043143	0.38122319	0.36105102
0.02430801	0.02447961	0.02507629	0.03419235	0.03478475	0.03453087
0.05110295	0.04812937	0.05479649	0.17694497	0.16559104	0.18289156
0.45706695	0.46481221	0.46222054	0.18463784	0.18858863	0.19278901
0.44516992	0.45415319	0.42190742	0.72094383	0.72309811	0.73031826
0.00924519	0.00998818	0.0100131	0.15945798	0.16304327	0.17325968
0.62830515	0.61504951	0.66321982	0.8331039	0.84549393	0.88925173
0.13921971	0.13434794	0.13940995	0.23774983	0.22562612	0.23742652
0.10814211	0.11379838	0.10936114	0.29695584	0.28599206	0.29956202
0.0047779	0.00628197	0.00557629	0.00040984	0.00040984	0.00040984
0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984
0.00280525	0.00329843	0.00289882	0.00375044	0.00460415	0.00426587
0.17568269	0.16799452	0.17764412	0.00040984	0.00040984	0.00040984
0.02253243	0.01596853	0.02095242	4.65772334	4.69442929	4.8849576
0.33924837	0.35165867	0.34746504	0.49176246	0.49713147	0.51111799
0.00129098	0.00134387	0.00168189	0.19224996	0.19356374	0.19231245
0.1428537	0.13434737	0.14957385	0.00381837	0.00371915	0.00464231
0.00048813	0.00055979	0.00094618	0.00274493	0.00109341	0.00228297
0.08610603	0.08042711	0.08328902	0.00256612	0.00316914	0.00292126
0.00240503	0.0021745	0.00152149	0.00116141	0.00161526	0.00124363
0.00658201	0.0069335	0.00633788	0.00221315	0.0017843	0.00226811
0.00488969	0.00503344	0.00521861	0.00255654	0.00225059	0.00282831
0.00727252	0.00751988	0.00609596	0.01294507	0.01376735	0.01236265
1.21399163	1.24997658	1.21345705	0.46361977	0.47799119	0.46936739
0.13572585	0.1380959	0.13107195	0.11914705	0.12273479	0.12700697
0.14256831	0.14946352	0.15330032	0.1438106	0.13650035	0.14472498
0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984
0.06057229	0.05938898	0.06048704	0.04115668	0.04077511	0.0387091
0.00264829	0.00243705	0.00244424	0.0379716	0.03534092	0.03429645
0.31856811	0.32310905	0.32070635	0.54109972	0.53560206	0.52567336
0.006803	0.00705771	0.00719567	0.00816531	0.00719219	0.00785106
0.49420065	0.47290384	0.53888709	0.46103631	0.43141375	0.4533548
0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984
0.00038713	0.00038713	0.00038713	0.00125732	0.00109661	0.00124961
0.00309802	0.00317383	0.00340988	0.04919121	0.05181809	0.04849272
0.19753312	0.20355901	0.2108029	0.19925953	0.23127031	0.2487984
0.24799926	0.24610052	0.2465101	0.21875593	0.22280052	0.21914193
0.00331443	0.00330106	0.00366815	0.86186308	0.87746709	0.81032298
