wt1	wt2	pten1	pten2	rapa1	rapa2	geneName.1	geneName.2	RPKM_pten1	RPKM_pten2	RPKM_rapamycin1	RPKM_rapamycin2
4.639276981	3.849407573	3.10202973	3.108928665	5.296772801	4.940943625	54.74654324	56.77331342	59.23956021	56.76992205	60.84642825	63.19911652
87.27055589	80.58742734	100.2112344	91.95726066	84.89722975	114.7385359	261.193168	247.8994004	244.8733205	210.7325106	165.3451578	180.0956379
31.98750352	35.77814094	30.61628476	28.40500302	27.41385331	22.33242838	77.4220299	72.25750127	74.27633173	75.01048371	59.94002634	56.14529094
73.59909891	69.98211086	81.01116374	66.01393783	62.31524074	62.71067652	156.8743663	171.885476	171.3123249	154.6002854	101.2280818	108.945855
151.5293775	180.9994739	148.7533852	181.4532219	148.2724653	162.6697475	125.3240441	139.6767575	130.8204562	150.2662058	100.6064319	99.51157224
121.7900698	123.5650185	213.044618	122.5765954	101.086498	147.0734483	10.02600346	13.26304124	9.79307294	13.41979188	8.829741776	9.723034005
305.6909334	187.4069454	248.9287168	245.0932073	179.8817564	403.2744852	11.99739879	8.271540462	9.45717031	12.55394779	15.66775087	12.89883268
299.1507753	258.4085825	239.5965246	218.3085367	275.8694522	413.1816527	3.207324656	2.792987689	5.169136567	3.912918793	2.201557499	2.21915401
73.55202898	77.66491095	82.89195808	72.45729143	62.425566	65.66777663	177.7929466	169.8478603	166.1798271	140.4642985	99.47173581	92.48000643
235.7045663	217.9780835	210.8695407	226.6106946	182.6930378	205.9431282	133.179599	122.779372	126.490654	103.8403412	58.83285671	62.73796864
116.8888706	149.0444781	107.173891	136.6293838	104.6606443	109.2758698	109.5224482	117.9235308	98.11381692	106.2116245	134.2467541	126.3712668
44.96835514	75.50918976	55.59900197	39.15969818	73.25806968	102.0281113	6.269937366	6.32722404	5.487982364	5.371795083	3.775901125	3.782829545
107.1449463	61.98388328	93.50019413	75.79815475	68.39649758	96.77353248	19.60475493	19.15701132	14.81874939	16.73859706	14.5272562	10.74272282
68.08443209	73.41475977	87.05063758	87.20991458	111.9943551	47.02256771	98.19741545	96.79786598	99.88309563	84.41705306	70.23448877	67.9979702
70.57216825	80.03157646	50.50836619	65.45303734	56.77916199	59.16840329	32.03435459	25.78852993	31.11028377	25.06732858	15.7638451	15.80154978
176.7278223	172.5283708	184.4686373	166.1460212	148.1478775	163.0195838	111.4050442	107.9656203	94.59404144	98.88585996	87.05650945	87.12212195
180.8263008	122.3131508	146.3343389	123.789618	118.2272132	177.3571005	44.666216	44.25669915	37.785399	43.24804982	33.45788042	33.50630561
224.5415515	203.6316165	134.7701332	183.1282568	184.7140312	208.387644	78.05433278	58.87960503	64.2249195	56.39915384	39.12490091	38.51212066
66.89318874	69.16674671	104.0912407	82.57201777	43.27604855	56.93603075	15.08037369	8.524648864	13.70450931	13.45562138	18.86837999	14.90591306
55.74325931	54.68658728	55.83974043	57.01815828	50.7968864	53.27388474	16.71824457	10.20613126	14.28411996	14.01250795	11.23185765	12.09400076
50.4604809	57.61539634	51.00509739	66.07240596	71.30821743	78.73245841	62.66635614	69.61666348	64.39360351	56.96952273	38.9202252	43.03685428
29.33781604	11.15134325	26.84494672	25.5297711	13.71030718	10.1035349	22.62539095	20.66440397	18.94709639	17.41423056	12.90789462	11.65562808
50.52963889	31.93026141	49.15184136	39.15707608	27.444962	16.67432437	28.76798733	27.96458373	23.74309912	22.28943392	16.92679506	20.36752323
18.96513725	34.80442557	30.47759225	29.52566878	23.93782914	22.86260097	32.49829182	24.38413411	24.57452156	22.30450955	12.12688651	13.84579915
52.12612428	38.09874377	56.55231657	46.24978207	36.6545365	24.87351396	15.07968734	19.27175989	14.60959562	14.84622942	7.517749918	9.815642332
53.51823481	45.34176774	60.14423956	64.484288	49.11985834	61.9016158	6.475938371	8.935373089	6.270119935	5.698632642	4.055028744	4.300028787
15.05383427	13.18043999	24.4471678	14.00702579	16.98976576	8.091983956	45.96618973	37.58304258	39.00997563	36.73694839	21.87550498	21.12955327
14.98893214	27.11738248	51.99149742	37.5259165	68.44053546	18.86053617	104.6364242	84.82137679	84.62054683	74.06440991	45.32547127	46.99018768
87.45526698	68.54318053	108.948255	97.53501223	123.9947464	97.89594702	17.49875982	17.47734495	14.76900343	10.32840415	11.24222807	12.42648345
217.7954442	184.7577179	242.0671776	214.7236056	194.8786862	225.6687034	4.186751483	5.752879918	13.99861214	13.72755395	13.55868304	24.29934341
62.48148273	72.97936066	39.22253718	42.77894494	30.48243261	30.26532394	96.68884528	100.4652115	92.26306574	80.59230847	62.387143	72.78044329
167.9855192	153.8639386	144.6726979	160.7582202	178.6639318	131.6538214	12.75226236	8.712941819	11.55228973	12.61125526	6.928239226	7.465164114
67.71201857	80.29758983	90.82312873	72.07279915	75.31151732	69.81957156	24.21248345	19.4110464	17.21281478	15.10373615	12.15131688	11.4556851
117.5076652	124.6848191	125.7803001	105.0661142	102.6311367	112.8651212	126.3687737	115.0803702	139.782958	147.8149539	132.2675731	115.3064858
23.97616599	30.75385942	24.61048872	26.59964397	38.5789352	56.54667004	29.03028303	31.2335998	29.89102135	22.01539008	15.16019132	20.17292225
103.0435986	96.40770615	168.8373673	121.2541336	163.8826593	173.252839	15.5597481	13.96158326	17.4550714	13.47409133	10.90347866	9.384853999
68.06075515	64.37387554	52.97682739	67.32239282	73.94046695	89.84785842	32.19422867	32.77119641	25.47302162	22.85441128	25.80579472	23.32037502
104.1800432	90.34425609	87.51049689	43.24365275	72.50438825	126.8417758	39.01943987	37.45189989	44.98769539	34.61821362	21.79671343	22.89453987
35.53487364	26.19520559	37.55722006	31.05966794	32.56916407	31.1600553	19.74429058	20.53490487	16.36736606	16.02340246	15.37567757	17.97514748
